num a b c d
340 -0.4216 0.0 0.0 0.6006
341 -0.9595 0.0 0.0 0.6006
342 -0.9795 0.0 1.2e-06 0.6006
343 -0.8867 0.0 0.0 0.6006
344 -0.9956 0.0 2.4e-06 0.6006
345 -0.987 0.0 0.0 0.6006
346 -1.0 0.0 0.0013685 0.6006
347 -0.9946 0.0 0.00501 0.6006
348 -0.9487 0.0 0.03812 0.6006
349 0.02522 -0.02377 6e-08 0.6006
350 -0.8027 -0.2135 0.1676 0.6006
351 -0.2817 -0.2292 0.0 0.6006
352 0.4492 0.0 0.0002844 0.6006
353 0.9727 0.0 6e-08 0.6006
354 0.896 0.0 0.0 0.6006
355 0.96 0.0 0.0 0.6006
356 0.991 0.0 2.4e-07 0.6006
357 0.9946 0.0 0.004517 0.6006
358 0.9956 0.0 1e-07 0.6006
359 0.9897 0.0 0.0 0.6006
360 1.0 0.0 6.9e-06 0.6006
361 1.0 0.0 7e-07 0.6006
362 1.0 0.0 0.0 0.6006
363 1.0 0.0 0.0 0.6006
364 1.0 0.0 0.1711 0.6006
365 0.9937 0.0 0.004833 0.6006
366 0.9697 0.0 0.0 0.743
367 0.3289 0.0 3.72e-05 0.8535
368 -0.9536 0.0 0.0 0.8696
369 -0.5815 0.0 1.13e-06 0.8774
370 -0.9644 0.0 0.996 0.8774
371 -0.998 0.0 0.318 0.8774
372 -0.986 0.0 0.859 0.8774
373 -0.979 0.0 0.04932 0.8774
374 -0.9736 0.0 0.002914 0.8774
375 -0.965 0.0 1.1e-06 0.8774
376 -0.6953 0.0 1.0 0.8774
377 0.682 0.0 0.84 0.8774
378 -0.9893 0.0 2e-07 0.8774
379 -0.1929 0.0 0.00871 0.8774
380 0.966 0.0 0.01521 0.8774
381 0.7256 0.0 1.85e-06 0.8457
382 -0.438 0.0 3.43e-05 0.719
383 -0.86 0.0 0.001613 0.506
384 0.969 0.0 0.002699 0.174
385 0.987 0.0 4.53e-06 6.104e-05
386 -0.02682 0.0 0.02238 6.104e-05
387 0.634 0.0 0.006638 6.104e-05
388 -0.1855 0.007904 4.72e-05 6.104e-05
389 -0.545 0.11066 0.1042 6.104e-05
390 0.7695 0.245 0.843 6.104e-05
391 0.319 0.332 1.32e-05 6.104e-05
392 0.738 0.3872 0.9995 6.104e-05
393 -0.0999 0.3872 0.0004592 6.104e-05
394 -0.4011 0.3872 0.003702 6.104e-05
395 -0.3364 0.3872 0.0002434 6.104e-05
396 0.5317 0.3872 0.00887 6.104e-05
397 -0.3564 0.3872 1.0 6.104e-05
398 0.965 0.3872 0.9976 6.104e-05
399 0.778 0.3872 0.001724 6.104e-05
400 0.0995 0.3872 0.0 6.104e-05
401 -0.2695 0.3872 3e-07 6.104e-05
402 0.377 0.3872 0.0 6.104e-05
403 0.9253 0.3872 0.3633 6.104e-05
404 0.9077 0.332 0.00011 6.104e-05
405 -0.05206 0.02371 0.8457 6.104e-05
406 -0.651 0.0 0.00399 6.104e-05
407 -0.445 0.0 3.463e-05 6.104e-05
408 0.2262 0.0 0.0381 6.104e-05
409 0.9297 0.0 0.6255 0.0791
410 -0.1952 0.0 8.7e-06 0.174
