a b
1823 476.0869565217291
2124 -16.996047430830163
1103 123.1404958677735
725 -27.419354838710515
329 62.16216216216482
2354 292.08633093525276
2021 60.000000000004604
1259 389.05109489049886
1020 -31.899641577061754
1583 87.26591760300116
1208 -26.199261992620297
303 -56.67870036101138
882 -12.087912087912269
182 364.2857142857072
229 -72.86821705426375
1674 13.879003558720424
2399 747.5836431226676
112 53.84615384615766
1460 40.35087719298564
2455 225.4237288135538
536 -35.714285714286525
1344 -6.137184115523917
1288 79.93079584775572
2301 230.0330033003345
2079 240.5017921146975
623 -23.333333333334
30 -22.261484098940773
499 25.00000000000206
1024 -37.30407523510989
401 -65.39792387543321
1517 78.34394904459077
1890 -75.94501718213056
1967 -47.540983606558015
897 110.16949152542855
693 -84.17721518987287
1781 153.2051282051327
2183 -25.56634304207199
827 -67.42671009772042
1609 68.67469879518517
1841 189.65517241379501
1129 -71.63120567375913
2004 287.7551020408006
1025 30.612244897961673
2339 111.72638436482595
67 -21.768707482993765
1597 221.42857142857693
2169 -40.35087719298326
1690 511.3207547169666
1611 365.62499999999386
1306 -77.44360902255625
578 -13.669064748201745
1017 337.2881355932156
859 309.893992932863
1201 288.70431893687703
1270 698.0132450331029
738 487.85942492011844
1909 389.436619718297
537 -82.39436619718265
186 14.391143911440759
498 8.013937282229374
1455 433.5365853658453
2108 -25.00000000000073
2444 216.83168316832163
344 40.24390243902728
404 198.56115107914164
53 -43.037974683544945
1371 -31.59609120521255
2384 176.1904761904808
231 361.0778443113765
674 11.111111111112331
2296 698.0769230769099
1514 447.4683544303714
1920 458.0645161290232
1739 237.74834437085102
785 74.0614334471039
306 -2.439024390243535
952 -26.38036809816027
2201 118.84498480243681
1851 -77.94117647058805
1035 133.46303501945997
1132 635.7142857142718
2038 350.1845018450048
72 -78.10218978102169
1687 527.1777003484192
973 -75.77854671280274
624 787.7192982455982
2352 320.382165605086
646 97.71863117870816
756 383.98576512454264
1186 172.05882352941683
1615 -34.06593406593484
2142 0.6493506493501715
887 509.52380952380116
1872 60.142348754452804
410 562.0689655172279
2063 6.896551724137488
564 274.5704467353845
1507 759.7785977859688
1412 251.72413793102746
2191 530.363036303621
1540 246.04105571847973
1301 153.1250000000033
452 -76.0273972602739
945 238.3458646616543
355 44.44444444444396
777 566.6666666666591
1346 120.44728434505316
1275 53.84615384615789
2453 -69.7986577181212
2292 -1.315789473684316
199 182.39202657807735
267 115.48821548822042
137 196.1876832844621
5 -80.8306709265172
1969 45.63106796116661
2422 -39.20972644376982
1786 253.6585365853569
1810 294.039735099336
1050 -71.4285714285717
1124 521.8181818181686
1992 602.4221453287105
1693 203.03030303030414
1176 301.51515151514025
2097 -49.41634241245216
88 39.285714285713496
2121 361.53846153845126
742 142.4242424242474
1767 92.92604501608176
1327 712.2743682310359
546 681.4814814814679
1643 161.32404181185154
469 -41.37931034482838
914 -36.619718309859934
995 116.21621621622137
1463 699.9999999999867
638 135.10971786834324
2305 222.18844984802956
661 618.6629526462272
832 22.448979591838707
424 -26.573426573427366
1390 37.25490196078735
374 68.53932584270166
2240 236.95652173913416
2223 20.00000000000189
309 -13.793103448276185
1556 240.764331210184
2490 13.07420494699593
768 37.583892617448925
214 -71.53024911032054
1946 -55.78231292517086
183 -50.81967213114792
1269 -5.405405405405105
1486 -45.94594594594623
2378 250.31847133757643
1863 54.07854984894658
29 -0.31152647975109143
1072 43.93939393939754
1839 51.624548736465385
1098 314.7909967845599
1675 685.1851851851711
1986 521.8181818181688
2140 576.0563380281582
1195 371.8309859154819
761 465.5737704917941
2084 -58.64661654135415
496 311.1111111110993
1730 390.56603773583424
55 31.086142322096215
958 12.00000000000135
1601 171.42857142857633
1292 58.08823529411882
634 -31.654676258993593
84 -46.84385382059882
860 499.9999999999836
1446 252.38095238095653
266 54.12186379928735
2334 401.6393442622906
1578 501.3745704467251
994 217.56756756756474
2244 228.35820895521883
543 -84.17721518987287
1397 289.28571428570007
1262 608.5020242914844
418 -22.29729729729809
1522 351.1784511784496
206 -69.49152542372923
670 -75.00000000000001
135 167.92452830189168
2403 -1.3605442176867626
337 122.9508196721342
799 277.10437710436923
2474 186.16352201258368
1931 412.34567901233964
1866 148.2517482517531
2233 417.44186046510674
1081 38.9830508474576
1095 790.8450704225186
1824 196.29629629630136
1710 790.0343642611521
2173 222.68370607029152
60 131.31672597865239
1338 276.0330578512297
1196 13.207547169812763
2014 299.3610223642092
715 -21.768707482993722
2089 -58.1749049429666
448 -66.44295302013468
586 178.57142857143376
68 -52.20588235294175
885 117.54385964912703
1733 -69.49152542372921
1574 457.8947368420949
1381 303.84615384614204
1650 34.48275862069259
539 271.42857142856707
956 83.0065359477174
1444 -80.06644518272392
360 13.20754716981154
430 419.8675496688668
168 -72.4137931034485
215 -0.6622516556302355
1265 287.75510204080257
261 -62.616822429907295
2219 126.29969418960758
1023 -71.1538461538463
2286 -39.87341772151979
2400 562.1621621621488
685 -44.983818770227174
2489 -55.17241379310427
2329 135.29411764706344
1506 -12.772585669782094
790 -56.953642384106764
1897 241.29692832763686
1934 393.6305732483934
2278 -110.4924914675772] average steps taken 652.0
1085 -84.17721518987287
1106 184.21052631579377
1825 143.44569288389607
1667 393.0069930069881
12 33.33333333333619
1581 585.1063829787113
2153 605.0847457626996
2030 -76.2711864406779
1204 262.3693379790852
726 -35.714285714286305
1309 230.06535947711723
2094 138.41059602649474
460 51.33531157269996
923 -62.12121212121292
99 -78.02197802197782
1758 46.66666666667034
844 391.52542372881373
2439 459.3869731800695
1372 140.13157894737313
599 131.7880794702033
332 140.00000000000495
2239 -37.984496124031814
384 440.85603112840045
1436 -73.42192691029915
544 34.482758620689324
2380 281.8770226537074
2331 220.00000000000216
1254 84.30034129693156
307 -25.37313432835899
1648 29.139072847683572
147 38.79003558719173
977 -83.60655737704866
692 281.2499999999919
222 211.86440677966195
1936 -66.77740863787434
1887 -72.6562500000002
1496 175.31645569620798
798 -54.177897574124756
2250 -24.528301886793255
1061 208.47457627119033
1114 337.4999999999865
1852 500.66006600658875
2120 135.5072463768148
1562 221.9178082191772
1701 638.2550335570322
14 239.4160583941636
951 776.984126984115
759 30.281690140847672
1200 150.81433224756213
1335 -28.81355932203473
2010 453.3333333333186
2438 179.56989247312328
2061 484.71760797340863
2220 864.843749999986
628 686.764705882341
853 631.4487632508715
449 48.14814814815184
645 422.0588235294016
431 -18.644067796610855
95 -50.16611295681134
1780 -76.97368421052619
342 -72.12543554006992
1431 -80.70739549839192
515 185.21126760563894
1655 555.9139784946143
2431 20.689655172415627
299 -31.506849315069292
1258 457.69230769229824
1387 517.6470588235242
2363 161.68224299065903
1902 515.6583629893157
1937 308.36012861735793
1004 130.5295950155812
164 -66.88741721854346
253 -84.32601880877688
1479 -12.772585669782165
781 -47.976878612717286
2243 645.5830388692468
1057 376.01476014759595
1108 302.47678018575004
2134 -74.26470588235301
1846 394.8805460750708
1584 467.0731707317003
1714 73.78048780488234
1 50.87719298245993
930 262.49999999998636
1170 635.9154929577364
711 -64.02877697841808
1286 183.82838283828733
470 35.71428571428853
2033 704.6357615893935
657 13.879003558720282
2443 -38.77551020408244
884 374.57627118642665
2103 120.73578595318224
78 -14.67576791808931
1662 256.87732342006115
1413 487.4125874125767
361 -66.6666666666671
1218 -72.11155378486079
1783 69.23076923077414
2409 280.47138047137065
446 -34.06593406593486
2192 -61.165048543690126
607 67.72151898734108
1406 -51.61290322580724
293 -40.62500000000048
2306 59.86394557823037
545 484.61538461537344
1497 233.33333333332504
802 325.3968253968203
1882 -75.08896797153028
1980 199.70326409496013
983 408.3612040133658
251 -16.398713826366876
128 413.11953352768984
2279 359.1439688715831
1039 134.52768729642202
1125 695.3795379537848
2150 -37.888198757764776
1816 8.910891089110114
1570 -78.94736842105237
907 407.19424460431003
1189 683.3827893174965
1726 331.3725490195987
700 151.9083969465698
31 -40.25157232704439
1295 -77.52808988764029
766 -79.86577181208023
1991 47.79874213836852
842 -78.87323943661946
2473 5.960264900663136
362 631.1475409835955
1426 481.99356913182334
2076 382.6498422712811
1765 138.7096774193582
597 511.8881118881038
495 41.955835962145066
2204 27.272727272729668
1614 61.90476190476675
774 328.57142857141736
425 49.65986394557869
65 -32.90734824281173
1240 55.40540540540877
1366 -76.74418604651153
271 194.1176470588282
2311 240.69400630914282
966 73.4317343173482
2413 -49.85250737463209
1504 -76.66666666666657
1981 405.6603773584753
209 369.534050179209
1895 92.43986254296021
553 160.3550295858032
130 -83.22147651006662
